EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
17680,2457415.5,59088,6598.86937,1333.17083,1808.04218,-2.43677,4.48278,5.58553,6976.80378,0.00087,0.8988,6.26723,0.44131,6.17988,6.1797,0,251.3,-11.4,15.2,-1.9,0,1,1
17700,2457415.5,59108,6548.58335,1422.50539,1919.317,-2.59163,4.45032,5.54151,6976.64054,0.00085,0.89879,6.26722,0.47118,6.17173,6.17154,0,251.9,-10.6,16.2,-1.1,0,1,1
17720,2457415.5,59128,6495.21229,1511.1698,2029.68516,-2.74526,4.41577,5.49487,6976.4692,0.00083,0.89878,6.26722,0.50124,6.16338,6.16318,0,252.6,-9.7,17.1,-0.4,0,1,1
17740,2457415.5,59148,6438.7815,1599.12233,2139.09458,-2.89759,4.37914,5.44564,6976.29009,0.00081,0.89877,6.26721,0.53152,6.15482,6.15461,0,253.3,-8.9,18.1,0.4,0,1,1
17760,2457415.5,59168,6379.31775,1686.32159,2247.49365,-3.04855,4.34045,5.39384,6976.10353,0.00078,0.89876,6.26721,0.56205,6.146,6.14579,0,254,-8.1,19,1.2,0,1,1
17780,2457415.5,59188,6316.84922,1772.72655,2354.83122,-3.19806,4.29971,5.3395,6975.90984,0.00076,0.89875,6.2672,0.59287,6.1369,6.13668,0,254.8,-7.2,19.9,2,0,1,1
17800,2457415.5,59208,6251.40551,1858.29657,2461.05668,-3.34605,4.25695,5.28263,6975.70934,0.00073,0.89874,6.26719,0.62402,6.12747,6.12724,0,255.7,-6.3,20.9,2.8,0,1,1
17820,2457415.5,59228,6183.01765,1942.9914,2566.11992,-3.49246,4.2122,5.22328,6975.5024,0.00071,0.89873,6.26718,0.65554,6.11766,6.11743,0,256.6,-5.4,21.8,3.6,0,1,1
17840,2457415.5,59248,6111.71803,2026.77122,2669.97142,-3.63722,4.16546,5.16146,6975.28935,0.00068,0.89872,6.26718,0.68748,6.10743,6.1072,0,257.5,-4.5,22.7,4.4,0,1,1
17860,2457415.5,59268,6037.54043,2109.59663,2772.56221,-3.78025,4.11676,5.09721,6975.07057,0.00065,0.8987,6.26717,0.71992,6.09671,6.09647,0,258.5,-3.5,23.7,5.2,0,1,1
17880,2457415.5,59288,5960.51997,2191.4287,2873.84396,-3.92149,4.06613,5.03056,6974.84642,0.00062,0.89869,6.26716,0.75291,6.08544,6.08519,0,259.6,-2.6,24.6,6.1,0,1,1
17900,2457415.5,59308,5880.69313,2272.22897,2973.76893,-4.06088,4.01358,4.96154,6974.61731,0.00059,0.89868,6.26715,0.78654,6.07351,6.07327,0,260.8,-1.6,25.5,6.9,0,1,1
17920,2457415.5,59328,5798.0977,2351.95949,3072.29007,-4.19834,3.95916,4.89018,6974.38372,0.00056,0.89866,6.26714,0.82091,6.06085,6.06061,0,262,-0.5,26.4,7.8,0,1,1
17940,2457415.5,59348,5712.77276,2430.58279,3169.36095,-4.33382,3.90287,4.81652,6974.14617,0.00053,0.89865,6.26712,0.85615,6.04733,6.04708,1,263.4,0.5,27.3,8.7,0,1,1
17960,2457415.5,59368,5624.75871,2508.06195,3264.93589,-4.46724,3.84475,4.7406,6973.90518,0.0005,0.89864,6.26711,0.89242,6.03277,6.03252,1,264.9,1.6,28.2,9.6,0,1,1
17980,2457415.5,59388,5534.09716,2584.3606,3358.9699,-4.59855,3.78482,4.66244,6973.66126,0.00047,0.89862,6.2671,0.92994,6.01696,6.01671,1,266.5,2.7,29,10.5,0,1,1
18000,2457415.5,59408,5440.83101,2659.44291,3451.41871,-4.72769,3.72312,4.58208,6973.41484,0.00044,0.89861,6.26708,0.969,5.9996,5.99936,1,268.3,3.9,29.9,11.4,0,1,1
